[2026-05-07T15:06:13.198Z] GET http://localhost:3001/ → 200 (148ms, 209295B)
[2026-05-07T15:06:13.349Z] GET http://localhost:3001/_next/static/media/70bc3e132a0a741e.p.1409xf.ylxg8g.woff2 → 200 (10ms, 40480B)
[2026-05-07T15:06:13.349Z] GET http://localhost:3001/_next/static/media/83afe278b6a6bb3c.p.0q-301v4kxxnr.woff2 → 200 (11ms, 48432B)
[2026-05-07T15:06:13.349Z] GET http://localhost:3001/_next/static/media/f67ad414ed34149c.p.0036ggltrltw4.woff2 → 200 (11ms, 51636B)
[2026-05-07T15:06:13.349Z] GET http://localhost:3001/_next/static/chunks/00zuoyub-sqd1.css → 200 (9ms, 6023B)
[2026-05-07T15:06:13.349Z] GET http://localhost:3001/_next/static/chunks/0i2o85t7b~jum.css → 200 (10ms, 242677B)
[2026-05-07T15:06:13.349Z] GET http://localhost:3001/_next/static/chunks/03n-yw_fhpj7-.css → 200 (10ms, 15647B)
[2026-05-07T15:06:13.352Z] GET http://localhost:3001/logo.svg → 200 (11ms, 8710B)
[2026-05-07T15:06:13.352Z] GET http://localhost:3001/images/octolens-feed.png → 200 (16ms, 1128700B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/0x6dpcr6zid4k.js → 200 (57ms, 29164B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/083vprw7tkvz9.js → 200 (57ms, 52698B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/05s_9sbgi~nbe.js → 200 (402ms, 226467B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/01ppjln24afh~.js → 200 (57ms, 137475B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/turbopack-13q30hf7.sw3h.js → 200 (401ms, 10579B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/0to_.48too1tz.js → 200 (401ms, 9181B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/133z7.radauf..js → 200 (436ms, 54786B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/0d_-.bh3fer20.js → 200 (436ms, 20220B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/0ag~4u20zvd58.js → 200 (436ms, 47766B)
[2026-05-07T15:06:13.353Z] GET http://localhost:3001/_next/static/chunks/109nrjrhn2iar.js → 200 (436ms, 35258B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/07-d-j~s-fuv~.js → 200 (435ms, 57347B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/02qus5hw1hewj.js → 200 (441ms, 105823B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/11fp8sbtiez-k.js → 200 (441ms, 74104B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/0h_mv45z6s0vm.js → 200 (441ms, 82084B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/086gf8e6gkh98.js → pending (?ms, ?B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/0wfmkx7h4gj7m.js → 200 (441ms, 74372B)
[2026-05-07T15:06:13.354Z] GET http://localhost:3001/_next/static/chunks/17vv5lgu2zmof.js → 200 (441ms, 39841B)
